multiplier,trading_code,delist_date,price_tick_desc,exchange,list_date,product_code,price_tick,instrument,name,last_ddate,minmov,pricescale
10.0,y2205,2022-05-18,,DCE,2021-05-20,Y,2.0,Y2205.DCE,豆油2205,2022-05-23,2,1
10.0,y2207,2022-07-14,,DCE,2021-07-15,Y,2.0,Y2207.DCE,豆油2207,2022-07-19,2,1
10.0,y2208,2022-08-12,,DCE,2021-08-16,Y,2.0,Y2208.DCE,豆油2208,2022-08-17,2,1
10.0,y2209,2022-09-15,,DCE,2021-09-15,Y,2.0,Y2209.DCE,豆油2209,2022-09-20,2,1
10.0,y2301,2023-01-17,,DCE,2022-01-18,Y,2.0,Y2301.DCE,豆油2301,2023-01-20,2,1
10.0,y2211,2022-11-14,,DCE,2021-11-15,Y,2.0,Y2211.DCE,豆油2211,2022-11-17,2,1
10.0,y2212,2022-12-14,,DCE,2021-12-15,Y,2.0,Y2212.DCE,豆油2212,2022-12-19,2,1
10.0,y0000,2099-01-01,,DCE,2006-01-09,Y,2.0,Y0000.DCE,豆油指数,2099-01-01,2,1
10.0,sp2204,2022-04-15,,SHFE,2021-04-16,SP,2.0,SP2204.SHF,漂针浆2204,2022-04-20,2,1
10.0,sp2206,2022-06-15,,SHFE,2021-06-16,SP,2.0,SP2206.SHF,漂针浆2206,2022-06-20,2,1
10.0,sp2205,2022-05-16,,SHFE,2021-05-18,SP,2.0,SP2205.SHF,漂针浆2205,2022-05-19,2,1
10.0,sp2207,2022-07-15,,SHFE,2021-07-16,SP,2.0,SP2207.SHF,漂针浆2207,2022-07-20,2,1
10.0,sp2208,2022-08-15,,SHFE,2021-08-17,SP,2.0,SP2208.SHF,漂针浆2208,2022-08-18,2,1
10.0,sp2209,2022-09-15,,SHFE,2021-09-16,SP,2.0,SP2209.SHF,漂针浆2209,2022-09-20,2,1
10.0,sp2301,2023-01-16,,SHFE,2022-01-18,SP,2.0,SP2301.SHF,漂针浆2301,2023-01-19,2,1
10.0,sp2210,2022-10-17,,SHFE,2021-10-18,SP,2.0,SP2210.SHF,漂针浆2210,2022-10-20,2,1
10.0,sp2212,2022-12-15,,SHFE,2021-12-16,SP,2.0,SP2212.SHF,漂针浆2212,2022-12-20,2,1
10.0,sp2211,2022-11-15,,SHFE,2021-11-16,SP,2.0,SP2211.SHF,漂针浆2211,2022-11-18,2,1
10.0,sp0000,2099-01-01,,SHFE,2018-11-27,SP,2.0,SP0000.SHF,漂针浆指数,2099-01-01,2,1
10.0,lu2205,2022-04-29,,INE,2021-05-06,LU,1.0,LU2205.INE,低硫燃料油2205,2022-05-11,1,1
10.0,lu2206,2022-05-31,,INE,2021-06-01,LU,1.0,LU2206.INE,低硫燃料油2206,2022-06-08,1,1
10.0,lu2209,2022-08-31,,INE,2021-09-01,LU,1.0,LU2209.INE,低硫燃料油2209,2022-09-07,1,1
10.0,lu2207,2022-06-30,,INE,2021-07-01,LU,1.0,LU2207.INE,低硫燃料油2207,2022-07-07,1,1
10.0,lu2208,2022-07-29,,INE,2021-08-02,LU,1.0,LU2208.INE,低硫燃料油2208,2022-08-05,1,1
10.0,lu2210,2022-09-23,,INE,2021-09-24,LU,1.0,LU2210.INE,低硫燃料油2210,2022-09-30,1,1
10.0,lu2302,2023-01-31,,INE,2022-01-24,LU,1.0,LU2302.INE,低硫燃料油2302,2023-02-07,1,1
10.0,lu2211,2022-10-31,,INE,2021-11-01,LU,1.0,LU2211.INE,低硫燃料油2211,2022-11-07,1,1
10.0,lu2212,2022-11-30,,INE,2021-12-01,LU,1.0,LU2212.INE,低硫燃料油2212,2022-12-07,1,1
10.0,lu2301,2022-12-30,,INE,2021-12-24,LU,1.0,LU2301.INE,低硫燃料油2301,2023-01-10,1,1
10.0,lu0000,2099-01-01,,INE,2020-06-22,LU,1.0,LU0000.INE,低硫燃料油指数,2099-01-01,1,1
10.0,b2204,2022-04-18,,DCE,2021-04-16,B,1.0,B2204.DCE,黄大豆2号2204,2022-04-21,1,1
10.0,b2206,2022-06-15,,DCE,2021-06-16,B,1.0,B2206.DCE,黄大豆2号2206,2022-06-20,1,1
10.0,b2205,2022-05-18,,DCE,2021-05-20,B,1.0,B2205.DCE,黄大豆2号2205,2022-05-23,1,1
10.0,b2207,2022-07-14,,DCE,2021-07-15,B,1.0,B2207.DCE,黄大豆2号2207,2022-07-19,1,1
10.0,b2208,2022-08-12,,DCE,2021-08-16,B,1.0,B2208.DCE,黄大豆2号2208,2022-08-17,1,1
10.0,b2209,2022-09-15,,DCE,2021-09-15,B,1.0,B2209.DCE,黄大豆2号2209,2022-09-20,1,1
10.0,b2301,2023-01-17,,DCE,2022-01-18,B,1.0,B2301.DCE,黄大豆2号2301,2023-01-20,1,1
10.0,b2210,2022-10-21,,DCE,2021-10-22,B,1.0,B2210.DCE,黄大豆2号2210,2022-10-26,1,1
10.0,b2211,2022-11-14,,DCE,2021-11-15,B,1.0,B2211.DCE,黄大豆2号2211,2022-11-17,1,1
10.0,b2212,2022-12-14,,DCE,2021-12-15,B,1.0,B2212.DCE,黄大豆2号2212,2022-12-19,1,1
10.0,b0000,2099-01-01,,DCE,2004-12-22,B,1.0,B0000.DCE,黄大豆2号指数,2099-01-01,1,1
5.0,TA204,2022-04-18,,CZCE,2021-04-16,TA,2.0,TA2204.CZC,精对苯二甲酸204,2022-04-18,2,1
5.0,TA206,2022-06-15,,CZCE,2021-06-16,TA,2.0,TA2206.CZC,精对苯二甲酸206,2022-06-15,2,1
5.0,TA205,2022-05-18,,CZCE,2021-05-20,TA,2.0,TA2205.CZC,精对苯二甲酸205,2022-05-18,2,1
5.0,TA207,2022-07-14,,CZCE,2021-07-15,TA,2.0,TA2207.CZC,精对苯二甲酸207,2022-07-14,2,1
5.0,TA208,2022-08-12,,CZCE,2021-08-16,TA,2.0,TA2208.CZC,精对苯二甲酸208,2022-08-12,2,1
5.0,TA209,2022-09-15,,CZCE,2021-09-15,TA,2.0,TA2209.CZC,精对苯二甲酸209,2022-09-15,2,1
5.0,TA301,2023-01-13,,CZCE,2022-01-18,TA,2.0,TA2301.CZC,精对苯二甲酸301,2023-01-13,2,1
5.0,TA210,2022-10-21,,CZCE,2021-10-22,TA,2.0,TA2210.CZC,精对苯二甲酸210,2022-10-21,2,1
5.0,TA211,2022-11-14,,CZCE,2021-11-15,TA,2.0,TA2211.CZC,精对苯二甲酸211,2022-11-14,2,1
5.0,TA212,2022-12-14,,CZCE,2021-12-15,TA,2.0,TA2212.CZC,精对苯二甲酸212,2022-12-14,2,1
5.0,TA0000,2099-01-01,,CZCE,2006-12-18,TA,2.0,TA0000.CZC,精对苯二甲酸指数,2099-01-01,2,1
16.0,lh2205,2022-05-26,,DCE,2021-05-27,LH,5.0,LH2205.DCE,生猪2205,2022-05-31,5,1
16.0,lh2207,2022-07-26,,DCE,2021-07-28,LH,5.0,LH2207.DCE,生猪2207,2022-07-29,5,1
16.0,lh2209,2022-09-27,,DCE,2021-09-28,LH,5.0,LH2209.DCE,生猪2209,2022-09-30,5,1
16.0,lh2301,2023-01-25,,DCE,2022-01-26,LH,5.0,LH2301.DCE,生猪2301,2023-01-30,5,1
16.0,lh2211,2022-11-25,,DCE,2021-11-26,LH,5.0,LH2211.DCE,生猪2211,2022-11-30,5,1
16.0,lh0000,2099-01-01,,DCE,2021-01-08,LH,5.0,LH0000.DCE,生猪指数,2099-01-01,5,1
10.0,c2205,2022-05-18,,DCE,2021-05-20,C,1.0,C2205.DCE,黄玉米2205,2022-05-23,1,1
10.0,c2207,2022-07-14,,DCE,2021-07-15,C,1.0,C2207.DCE,黄玉米2207,2022-07-19,1,1
10.0,c2209,2022-09-15,,DCE,2021-09-15,C,1.0,C2209.DCE,黄玉米2209,2022-09-20,1,1
10.0,c2301,2023-01-17,,DCE,2022-01-18,C,1.0,C2301.DCE,黄玉米2301,2023-01-20,1,1
10.0,c2211,2022-11-14,,DCE,2021-11-15,C,1.0,C2211.DCE,黄玉米2211,2022-11-17,1,1
10.0,c0000,2099-01-01,,DCE,2004-09-22,C,1.0,C0000.DCE,黄玉米指数,2099-01-01,1,1
10.0,bu2206,2022-06-15,,SHFE,2020-06-16,BU,2.0,BU2206.SHF,石油沥青2206,2022-06-20,2,1
10.0,bu2209,2022-09-15,,SHFE,2020-09-16,BU,2.0,BU2209.SHF,石油沥青2209,2022-09-20,2,1
10.0,bu2212,2022-12-15,,SHFE,2020-12-16,BU,2.0,BU2212.SHF,石油沥青2212,2022-12-20,2,1
10.0,bu2303,2023-03-15,,SHFE,2021-03-16,BU,2.0,BU2303.SHF,石油沥青2303,2023-03-20,2,1
10.0,bu2306,2023-06-15,,SHFE,2021-06-16,BU,2.0,BU2306.SHF,石油沥青2306,2023-06-20,2,1
10.0,bu2309,2023-09-15,,SHFE,2021-09-16,BU,2.0,BU2309.SHF,石油沥青2309,2023-09-20,2,1
10.0,bu2204,2022-04-15,,SHFE,2021-10-18,BU,2.0,BU2204.SHF,石油沥青2204,2022-04-20,2,1
10.0,bu2312,2023-12-15,,SHFE,2021-12-16,BU,2.0,BU2312.SHF,石油沥青2312,2023-12-20,2,1
10.0,bu2207,2022-07-15,,SHFE,2022-01-18,BU,2.0,BU2207.SHF,石油沥青2207,2022-07-20,2,1
10.0,bu2205,2022-05-16,,SHFE,2021-11-16,BU,2.0,BU2205.SHF,石油沥青2205,2022-05-19,2,1
10.0,bu0000,2099-01-01,,SHFE,2013-10-09,BU,2.0,BU0000.SHF,石油沥青指数,2099-01-01,2,1
10.0,SR205,2022-05-18,,CZCE,2021-05-20,SR,1.0,SR2205.CZC,白砂糖205,2022-05-18,1,1
10.0,SR207,2022-07-14,,CZCE,2021-07-15,SR,1.0,SR2207.CZC,白砂糖207,2022-07-14,1,1
10.0,SR209,2022-09-15,,CZCE,2021-09-15,SR,1.0,SR2209.CZC,白砂糖209,2022-09-15,1,1
10.0,SR301,2023-01-13,,CZCE,2022-01-18,SR,1.0,SR2301.CZC,白砂糖301,2023-01-13,1,1
10.0,SR211,2022-11-14,,CZCE,2021-11-15,SR,1.0,SR2211.CZC,白砂糖211,2022-11-14,1,1
10.0,SR0000,2099-01-01,,CZCE,2006-01-06,SR,1.0,SR0000.CZC,白砂糖指数,2099-01-01,1,1
100.0,i2205,2022-05-18,,DCE,2021-05-20,I,0.5,I2205.DCE,铁矿石2205,2022-05-23,5,10
100.0,i2204,2022-04-18,,DCE,2021-04-16,I,0.5,I2204.DCE,铁矿石2204,2022-04-21,5,10
100.0,i2206,2022-06-15,,DCE,2021-06-16,I,0.5,I2206.DCE,铁矿石2206,2022-06-20,5,10
100.0,i2207,2022-07-14,,DCE,2021-07-15,I,0.5,I2207.DCE,铁矿石2207,2022-07-19,5,10
100.0,i2208,2022-08-12,,DCE,2021-08-16,I,0.5,I2208.DCE,铁矿石2208,2022-08-17,5,10
100.0,i2209,2022-09-15,,DCE,2021-09-15,I,0.5,I2209.DCE,铁矿石2209,2022-09-20,5,10
100.0,i2301,2023-01-17,,DCE,2022-01-18,I,0.5,I2301.DCE,铁矿石2301,2023-01-20,5,10
100.0,i2210,2022-10-21,,DCE,2021-10-22,I,0.5,I2210.DCE,铁矿石2210,2022-10-26,5,10
100.0,i2211,2022-11-14,,DCE,2021-11-15,I,0.5,I2211.DCE,铁矿石2211,2022-11-17,5,10
100.0,i2212,2022-12-14,,DCE,2021-12-15,I,0.5,I2212.DCE,铁矿石2212,2022-12-19,5,10
100.0,i0000,2099-01-01,,DCE,2013-10-18,I,0.5,I0000.DCE,铁矿石指数,2099-01-01,5,10
10.0,MA204,2022-04-18,,CZCE,2021-04-16,MA,1.0,MA2204.CZC,甲醇204,2022-04-18,1,1
10.0,MA206,2022-06-15,,CZCE,2021-06-16,MA,1.0,MA2206.CZC,甲醇206,2022-06-15,1,1
10.0,MA205,2022-05-18,,CZCE,2021-05-20,MA,1.0,MA2205.CZC,甲醇205,2022-05-18,1,1
10.0,MA207,2022-07-14,,CZCE,2021-07-15,MA,1.0,MA2207.CZC,甲醇207,2022-07-14,1,1
10.0,MA208,2022-08-12,,CZCE,2021-08-16,MA,1.0,MA2208.CZC,甲醇208,2022-08-12,1,1
10.0,MA209,2022-09-15,,CZCE,2021-09-15,MA,1.0,MA2209.CZC,甲醇209,2022-09-15,1,1
10.0,MA301,2023-01-13,,CZCE,2022-01-18,MA,1.0,MA2301.CZC,甲醇301,2023-01-13,1,1
10.0,MA210,2022-10-21,,CZCE,2021-10-22,MA,1.0,MA2210.CZC,甲醇210,2022-10-21,1,1
10.0,MA211,2022-11-14,,CZCE,2021-11-15,MA,1.0,MA2211.CZC,甲醇211,2022-11-14,1,1
10.0,MA212,2022-12-14,,CZCE,2021-12-15,MA,1.0,MA2212.CZC,甲醇212,2022-12-14,1,1
10.0,MA0000,2099-01-01,,CZCE,2014-06-17,MA,1.0,MA0000.CZC,甲醇指数,2099-01-01,1,1
10.0,m2205,2022-05-18,,DCE,2021-05-20,M,1.0,M2205.DCE,豆粕2205,2022-05-23,1,1
10.0,m2207,2022-07-14,,DCE,2021-07-15,M,1.0,M2207.DCE,豆粕2207,2022-07-19,1,1
10.0,m2208,2022-08-12,,DCE,2021-08-16,M,1.0,M2208.DCE,豆粕2208,2022-08-17,1,1
10.0,m2209,2022-09-15,,DCE,2021-09-15,M,1.0,M2209.DCE,豆粕2209,2022-09-20,1,1
10.0,m2301,2023-01-17,,DCE,2022-01-18,M,1.0,M2301.DCE,豆粕2301,2023-01-20,1,1
10.0,m2211,2022-11-14,,DCE,2021-11-15,M,1.0,M2211.DCE,豆粕2211,2022-11-17,1,1
10.0,m2212,2022-12-14,,DCE,2021-12-15,M,1.0,M2212.DCE,豆粕2212,2022-12-19,1,1
10.0,m0000,2099-01-01,,DCE,2000-07-17,M,1.0,M0000.DCE,豆粕指数,2099-01-01,1,1
10.0,fu2205,2022-04-29,,SHFE,2021-05-06,FU,1.0,FU2205.SHF,燃料油2205,2022-05-09,1,1
10.0,fu2206,2022-05-31,,SHFE,2021-06-01,FU,1.0,FU2206.SHF,燃料油2206,2022-06-06,1,1
10.0,fu2209,2022-08-31,,SHFE,2021-09-01,FU,1.0,FU2209.SHF,燃料油2209,2022-09-05,1,1
10.0,fu2207,2022-06-30,,SHFE,2021-07-01,FU,1.0,FU2207.SHF,燃料油2207,2022-07-05,1,1
10.0,fu2208,2022-07-29,,SHFE,2021-08-02,FU,1.0,FU2208.SHF,燃料油2208,2022-08-03,1,1
10.0,fu2210,2022-09-23,,SHFE,2021-09-24,FU,1.0,FU2210.SHF,燃料油2210,2022-09-28,1,1
10.0,fu2302,2023-01-31,,SHFE,2022-01-24,FU,1.0,FU2302.SHF,燃料油2302,2023-02-03,1,1
10.0,fu2211,2022-10-31,,SHFE,2021-11-01,FU,1.0,FU2211.SHF,燃料油2211,2022-11-03,1,1
10.0,fu2212,2022-11-30,,SHFE,2021-12-01,FU,1.0,FU2212.SHF,燃料油2212,2022-12-05,1,1
10.0,fu2301,2022-12-30,,SHFE,2021-12-24,FU,1.0,FU2301.SHF,燃料油2301,2023-01-06,1,1
10.0,fu0000,2099-01-01,,SHFE,2004-08-25,FU,1.0,FU0000.SHF,燃料油指数,2099-01-01,1,1
10.0,jd2204,2022-04-26,,DCE,2021-04-28,JD,1.0,JD2204.DCE,鲜鸡蛋2204,2022-04-29,1,1
10.0,jd2205,2022-05-26,,DCE,2021-05-27,JD,1.0,JD2205.DCE,鲜鸡蛋2205,2022-05-31,1,1
10.0,jd2207,2022-07-26,,DCE,2021-07-28,JD,1.0,JD2207.DCE,鲜鸡蛋2207,2022-07-29,1,1
10.0,jd2206,2022-06-27,,DCE,2021-06-28,JD,1.0,JD2206.DCE,鲜鸡蛋2206,2022-06-30,1,1
10.0,jd2208,2022-08-26,,DCE,2021-08-27,JD,1.0,JD2208.DCE,鲜鸡蛋2208,2022-08-31,1,1
10.0,jd2209,2022-09-27,,DCE,2021-09-28,JD,1.0,JD2209.DCE,鲜鸡蛋2209,2022-09-30,1,1
10.0,jd2301,2023-01-25,,DCE,2022-01-26,JD,1.0,JD2301.DCE,鲜鸡蛋2301,2023-01-30,1,1
10.0,jd2210,2022-10-26,,DCE,2021-10-27,JD,1.0,JD2210.DCE,鲜鸡蛋2210,2022-10-31,1,1
10.0,jd2212,2022-12-27,,DCE,2021-12-29,JD,1.0,JD2212.DCE,鲜鸡蛋2212,2022-12-30,1,1
10.0,jd2211,2022-11-25,,DCE,2021-11-26,JD,1.0,JD2211.DCE,鲜鸡蛋2211,2022-11-30,1,1
10.0,jd0000,2099-01-01,,DCE,2013-11-08,JD,1.0,JD0000.DCE,鲜鸡蛋指数,2099-01-01,1,1
5.0,SF204,2022-04-18,,CZCE,2021-04-16,SF,2.0,SF2204.CZC,硅铁204,2022-04-18,2,1
5.0,SF206,2022-06-15,,CZCE,2021-06-16,SF,2.0,SF2206.CZC,硅铁206,2022-06-15,2,1
5.0,SF205,2022-05-18,,CZCE,2021-05-20,SF,2.0,SF2205.CZC,硅铁205,2022-05-18,2,1
5.0,SF207,2022-07-14,,CZCE,2021-07-15,SF,2.0,SF2207.CZC,硅铁207,2022-07-14,2,1
5.0,SF208,2022-08-12,,CZCE,2021-08-16,SF,2.0,SF2208.CZC,硅铁208,2022-08-12,2,1
5.0,SF209,2022-09-15,,CZCE,2021-09-15,SF,2.0,SF2209.CZC,硅铁209,2022-09-15,2,1
5.0,SF301,2023-01-13,,CZCE,2022-01-18,SF,2.0,SF2301.CZC,硅铁301,2023-01-13,2,1
5.0,SF210,2022-10-21,,CZCE,2021-10-22,SF,2.0,SF2210.CZC,硅铁210,2022-10-21,2,1
5.0,SF211,2022-11-14,,CZCE,2021-11-15,SF,2.0,SF2211.CZC,硅铁211,2022-11-14,2,1
5.0,SF212,2022-12-14,,CZCE,2021-12-15,SF,2.0,SF2212.CZC,硅铁212,2022-12-14,2,1
5.0,SF0000,2099-01-01,,CZCE,2014-08-08,SF,2.0,SF0000.CZC,硅铁指数,2099-01-01,2,1
5.0,pb2205,2022-05-16,,SHFE,2021-05-18,PB,5.0,PB2205.SHF,铅2205,2022-05-19,5,1
5.0,pb2204,2022-04-15,,SHFE,2021-04-16,PB,5.0,PB2204.SHF,铅2204,2022-04-20,5,1
5.0,pb2206,2022-06-15,,SHFE,2021-06-16,PB,5.0,PB2206.SHF,铅2206,2022-06-20,5,1
5.0,pb2207,2022-07-15,,SHFE,2021-07-16,PB,5.0,PB2207.SHF,铅2207,2022-07-20,5,1
5.0,pb2208,2022-08-15,,SHFE,2021-08-17,PB,5.0,PB2208.SHF,铅2208,2022-08-18,5,1
5.0,pb2209,2022-09-15,,SHFE,2021-09-16,PB,5.0,PB2209.SHF,铅2209,2022-09-20,5,1
5.0,pb2210,2022-10-17,,SHFE,2021-10-18,PB,5.0,PB2210.SHF,铅2210,2022-10-20,5,1
5.0,pb2212,2022-12-15,,SHFE,2021-12-16,PB,5.0,PB2212.SHF,铅2212,2022-12-20,5,1
5.0,pb2301,2023-01-16,,SHFE,2022-01-18,PB,5.0,PB2301.SHF,铅2301,2023-01-19,5,1
5.0,pb2211,2022-11-15,,SHFE,2021-11-16,PB,5.0,PB2211.SHF,铅2211,2022-11-18,5,1
5.0,pb0000,2099-01-01,,SHFE,2011-03-24,PB,5.0,PB0000.SHF,铅指数,2099-01-01,5,1
5.0,PF205,2022-05-18,,CZCE,2021-05-20,PF,2.0,PF2205.CZC,短纤205,2022-05-18,2,1
5.0,PF204,2022-04-18,,CZCE,2021-04-16,PF,2.0,PF2204.CZC,短纤204,2022-04-18,2,1
5.0,PF206,2022-06-15,,CZCE,2021-06-16,PF,2.0,PF2206.CZC,短纤206,2022-06-15,2,1
5.0,PF207,2022-07-14,,CZCE,2021-07-15,PF,2.0,PF2207.CZC,短纤207,2022-07-14,2,1
5.0,PF209,2022-09-15,,CZCE,2021-09-15,PF,2.0,PF2209.CZC,短纤209,2022-09-15,2,1
5.0,PF208,2022-08-12,,CZCE,2021-08-16,PF,2.0,PF2208.CZC,短纤208,2022-08-12,2,1
5.0,PF210,2022-10-21,,CZCE,2021-10-22,PF,2.0,PF2210.CZC,短纤210,2022-10-21,2,1
5.0,PF301,2023-01-13,,CZCE,2022-01-18,PF,2.0,PF2301.CZC,短纤301,2023-01-13,2,1
5.0,PF211,2022-11-14,,CZCE,2021-11-15,PF,2.0,PF2211.CZC,短纤211,2022-11-14,2,1
5.0,PF212,2022-12-14,,CZCE,2021-12-15,PF,2.0,PF2212.CZC,短纤212,2022-12-14,2,1
5.0,PF0000,2099-01-01,,CZCE,2020-10-12,PF,2.0,PF0000.CZC,短纤指数,2099-01-01,2,1
5.0,PK204,2022-04-18,,CZCE,2021-04-16,PK,2.0,PK2204.CZC,花生仁204,2022-04-18,2,1
5.0,PK210,2022-10-21,,CZCE,2021-10-22,PK,2.0,PK2210.CZC,花生仁210,2022-10-21,2,1
5.0,PK301,2023-01-13,,CZCE,2022-01-18,PK,2.0,PK2301.CZC,花生仁301,2023-01-13,2,1
5.0,PK211,2022-11-14,,CZCE,2021-11-15,PK,2.0,PK2211.CZC,花生仁211,2022-11-14,2,1
5.0,PK212,2022-12-14,,CZCE,2021-12-15,PK,2.0,PK2212.CZC,花生仁212,2022-12-14,2,1
5.0,PK0000,2099-01-01,,CZCE,2021-02-01,PK,2.0,PK0000.CZC,花生仁指数,2099-01-01,2,1
15.0,ag2204,2022-04-15,,SHFE,2021-04-16,AG,1.0,AG2204.SHF,白银2204,2022-04-20,1,1
15.0,ag2206,2022-06-15,,SHFE,2021-06-16,AG,1.0,AG2206.SHF,白银2206,2022-06-20,1,1
15.0,ag2207,2022-07-15,,SHFE,2021-07-16,AG,1.0,AG2207.SHF,白银2207,2022-07-20,1,1
15.0,ag2205,2022-05-16,,SHFE,2021-05-18,AG,1.0,AG2205.SHF,白银2205,2022-05-19,1,1
